ab:   abba
eln:   ellen
elno:   lennon, noel, lone, leon, leone
elnop:   pollen, plone
elnopv:   envelope
elnopy:   openly
elnor:   loren, enroll
elnort:   nortel
elnorz:   lorenzo
elnot:   elton
elnotvy:   novelty
elnov:   novell, novel
elnox:   lenox
elnoy:   lonely
elnoz:   nozzle
elnpty:   plenty
elnt:   lent, telnet
elntu:   tunnel
elntx:   nextel
elnv:   eleven
elnvy:   evenly, evelyn
elnwy:   newly
elny:   lenny, lynne, nelly
elop:   poole, pole, people
eloprt:   petrol
eloprty:   prolyte
eloprx:   explorer, explore
elopry:   properly
elopw:   powell
elopz:   lopez
elor:   lore, roller, role
elortu:   roulette
elortv:   revolt
elorty:   trolley, lottery
elorv:   rollover, lover
elorvy:   overly
elorw:   lower
elorx:   rolex
elory:   leroy
elotu:   outlet
elotw:   towel
elov:   evolve, love
elovy:   lovely
elow:   lowell, lowe
elowy:   yellow
eloxy:   oxley
elp:   peel
elpr:   perl
elpru:   purple
elpruy:   purely
elpry:   reply
elpuz:   puzzle
elr:   reel
elrt:   teller, letter
elrtu:   turtle
elrtuy:   utterly
elrty:   tyler
elru:   lure, ruler, rule
elrv:   lever
elry:   rely
elt:   tele, lett, tell
eltv:   velvet
eltvw:   twelve
elv:   level
elvy:   levy
elw:   well
ely:   yell
emno:   nemo, enom
emnor:   monroe
emnort:   mentor
emnortv:   vermont
emnorty:   monterey
emnot:   monte, moment
emnotu:   monument, momentum
emnotv:   movement
emnov:   venom
emnow:   women
emnoy:   money
emnt:   ment
emnu:   enum, menu
emny:   yemen, enemy
emnyz:   enzyme
emo:   memo
emop:   poem
emopr:   emperor
emoprt:   promoter, promote
emoprw:   empower
emopt:   tempo
emor:   romeo, moore, rome, more
emort:   metro, remote
emorv:   mover, remover, moreover, remove
emory:   emory, memory
emot:   tome
emov:   move
emprt:   temper
emprtu:   trumpet
empt:   tempe, temp
emptu:   meetup
emptx:   exempt
empty:   empty
emr:   mere
emrt:   metre, meter, term
emrtx:   xtreme, extreme
emry:   meyer, merry
emt:   meet
emtu:   mute
emuz:   muze
eno:   neon, none
enop:   nope, open
enopr:   prone, opener
enoprt:   opteron
enoprtw:   newport
enoprty:   entropy
enoprv:   proven
enopt:   potent, opponent
enor:   enron, nero, reno
enort:   tenor, trenton, torrent, rotten, notre, toner
enortu:   neutron
enortuv:   turnover
enorv:   vernon
enorvy:   everyone
enorw:   owner
enot:   tone, note
enotw:   newton
enouv:   nuevo
enov:   oven
enovw:   woven
enow:   owen
enox:   xeon
enoz:   ozone, zone
enp:   penn
enprt:   preteen
enprtu:   entrepreneur
enprtv:   prevent
enptu:   neptune
enpy:   penny
enqu:   queen
enr:   rene, renee
enrt:   entre, trent, rent, enter
enrtu:   tenure, tuner, turner, return
enrtuv:   venture
enrtx:   extern
enrty:   entry
enru:   runner
enruv:   revenue
enrv:   nerve, never
enrw:   werner, renew, newer
ent:   tent, teen
entu:   tune, nutten
entv:   vent, event
entw:   went
entwy:   twenty
entx:   extent, next
enty:   tyne
enuv:   venue
env:   even
envy:   envy
eop:   pope
eopr:   rope, proper
eoprt:   porter, reporter, potter, report
eoprtu:   puerto
eoprtvy:   poverty
eoprtx:   exporter, export
eoprty:   prototype, pottery, poetry, property
eopru:   europe
eoprv:   prove
eoprw:   power
eopt:   poet
eopx:   expo
eopxy:   epoxy
eopz:   zope
eoqrtu:   torque
eoqtu:   quote
eor:   error
eort:   otter, treo, retro, terror
eortu:   outer, torture, router, route
eortuv:   overture
eortv:   trevor, voter
eortvx:   vortex
eortw:   tower, wrote
eoru:   euro
eoruvy:   voyuer, voyeur
eorv:   rove, rover, over
eorvy:   voyer
eorw:   rowe, wore
eorx:   xerox
eorz:   zero
eot:   tote
eotv:   veto, vote
epr:   prep, pepper, peer
eprt:   peter
eprtu:   rupert
eprtw:   pewter
eprtx:   expert
eprty:   pretty
epru:   rupee, peru, pure, upper
eprv:   prev
epry:   prey, perry
eprz:   perez
ept:   pete
eptu:   puppet
epty:   petty, type
eqru:   queer
eqruy:   query
equ:   queue
ert:   terre, tree
ertu:   utter, true
ertux:   texture
ertv:   everett
ertvx:   vertex
ertx:   exeter
erty:   tyre, terry
erv:   ever
ervy:   every, very
erw:   were
erwz:   weezer
etx:   text
fghilt:   flight
fghint:   fighting
fghirt:   griffith
fghit:   fight
fghlotu:   thoughtful
fghotu:   fought
fgilmn:   filming
fgiln:   filling, filing
fgilno:   golfing
fgilnor:   flooring
fgilnow:   flowing, following
fgilnt:   lifting
fgilnu:   fulfilling
fgilny:   flying
fgimnor:   informing, forming
fginor:   roofing
fginr:   firing, griffin
fgint:   fitting
fginu:   fungi
fginx:   fixing
fgit:   gift
fglo:   golf
fglu:   gulf
fgor:   frog
fgort:   forgot
fhi:   hifi
fhilt:   filth
fhilty:   filthy
fhit:   fifth
fhort:   forth
fhortu:   fourth
fij:   fiji
fijlmu:   fujifilm
fiju:   fuji
fil:   fill
film:   milf, film
filmn:   mifflin
filmry:   firmly
filnop:   filipino
filnt:   flint
filo:   folio, foil
filoprt:   portfolio
filp:   flip
filrt:   flirt
filt:   lift
filu:   fulfil, fulfill
fimnor:   inform
fimnoru:   uniform
fimot:   fomit, motif
fimr:   firm
fin:   finn
fino:   info
finoprt:   footprint, nonprofit
finoty:   notify
finprt:   fprintf, printf
fint:   infiniti
finty:   nifty, infinity
fioprt:   profit
fiotu:   outfit
firtu:   fruit
firtz:   fritz
fit:   tiff
fity:   fifty
fiw:   wifi
fiz:   ziff
fklnor:   norfolk
fklo:   folk
fklorw:   workflow
fknu:   funk
fknuy:   funky
fkor:   fork
flnotu:   fulton
flnow:   flown
flny:   flynn
flo:   fool
flop:   flop
flopuw:   followup
flopy:   floppy
flor:   floor
floru:   flour
flot:   loft
flotz:   zoloft
flou:   foul
flow:   wolf, flow, follow
flu:   full
flux:   flux
fluy:   fluffy, fully
fmor:   form, from
fmoru:   forum
fnort:   front
fnoru:   runoff
fnot:   font
fnuy:   funny
fopr:   prof, proof
for:   roof
fort:   fort
forty:   forty
foru:   four
fot:   foto, foot
fpu:   puff
fpuy:   puffy
frtu:   turf
fruy:   furry, fury
fuyz:   fuzzy
ghi:   high
ghikn:   hiking
ghiknt:   knight, thinking
ghilnt:   highlighting, lightning, lighting
ghilnty:   nightly
ghilrty:   rightly
ghilt:   highlight, light
ghiltw:   twilight
ghilty:   tightly, lightly
ghily:   highly
ghimt:   might
ghimty:   mighty
ghinop:   hoping
ghinot:   tonight, nothing
ghinotu:   huntington
ghinpw:   whipping
ghinr:   hiring
ghinrtu:   hurting
ghint:   hitting, thing, night
ghintu:   hunting
ghiortu:   outright
ghiprtu:   upright
ghirt:   right
ghirtw:   wright
ghit:   thigh, tight
ghitw:   wight
ghlmoty:   mythology
ghlnor:   longhorn
ghloruy:   roughly
ghno:   hong
ghnot:   thong
ghnotu:   houghton
ghnruy:   hungry
ghnu:   hung
ghoprtu:   throughput
ghortu:   thorough, throughout, through
ghortuw:   wrought
ghortw:   growth
ghoru:   rough
ghot:   goth
ghotu:   ought, tough, thought, though
ghou:   hugo
ghtu:   thug
ghu:   hugh
gijmnpu:   jumping
gijno:   joining
gikln:   liking, killing, linking
giklno:   looking
gikn:   king
giknorw:   working
giknow:   knowing
giknt:   knitting
giknv:   viking
gil:   gill
gilmn:   milling
gilmnt:   limiting
gilmpr:   pilgrim
giln:   ling, lining
gilno:   inlog, logging, login
gilnop:   polling
gilnopt:   plotting
gilnor:   rolling
gilnorw:   rowling
gilnov:   loving, involving
gilnow:   glowing
gilnpu:   pulling, plugin
gilnqtu:   quilting
gilnru:   ruling
gilntuz:   utilizing
gilnuw:   unwilling
gilnv:   living
gilnw:   willing
gilny:   lying
gilorty:   trilogy
gilr:   grill, girl
gilryz:   grizzly
giltu:   guilt
giltuy:   guilty
gilu:   ilug
gimn:   ming, mining
gimnor:   grooming, morning
gimnort:   motoring, monitoring
gimnoru:   mourning
gimnotu:   mounting
gimnotv:   vomiting
gimnov:   moving
gimnowy:   wyoming
gimnpu:   pumping
gimnt:   timing
gimnx:   mixing
gimnz:   minimizing
gimp:   gimp
gimr:   grim
gin:   inning
gino:   goin, ongoing, going
ginopru:   pouring, grouping
ginoprv:   proving
ginopt:   pointing
ginoqtu:   quoting
ginor:   ironing, ignoring, origin
ginortu:   tutoring, touring, routing
ginorw:   rowing, growing
ginorwy:   worrying
ginot:   ignition, noting
ginotu:   outing, outgoing
ginotv:   voting
ginotw:   towing
ginow:   owing, owning
ginoz:   zoning
ginp:   piping, ping
ginprt:   printing
ginpt:   tipping
ginptu:   putting
ginpty:   typing
ginr:   grin, ringing, ring
ginrtu:   intriguing, turning
ginrtw:   writing
ginrty:   trying
ginru:   urging, running
ginrv:   irving, virgin
ginrw:   wiring
gintu:   tuning
gintv:   inviting
ginty:   tying
ginv:   giving
ginw:   wing, winning
gior:   orig, igor, giorgio
gipr:   grip
gipz:   gzip
gjno:   jong
gjnu:   jung
gkno:   kong
gknu:   kung
gkopruw:   workgroup
glno:   logon, long
glnoty:   ontology
glnu:   lung
glo:   logo
glopty:   topology
gloruy:   urology
glory:   glory
glotu:   logout
glow:   glow
gloyz:   zoology
glpu:   plug
glu:   gull
gluy:   ugly
gmor:   groom
gmt:   mgmt
gno:   gong
gnop:   pong
gnort:   trong
gnorw:   grown, wrong
gnouy:   young
gnow:   gown, wong
gop:   pogo
gopr:   prog
gopru:   group
gopruv:   vgroup
gortuy:   yogurt
gorvy:   groovy
gorw:   grow
gory:   orgy
got:   togo, goto
gotv:   govt
gru:   guru
hiknt:   think
hil:   hill
hilmtu:   lithium
hilnot:   hilton
hiloprw:   whirlpool
hilp:   phillip, philip, phil
hilpy:   philly
hilrt:   thrill
himn:   minh, nimh
himoty:   timothy
himprtu:   triumph
hinor:   rhino
hinorz:   horizon
hint:   ninth, hint, thin
hintw:   within
hio:   ohio
hiotuw:   without
hipw:   whip
hirty:   thirty
hitw:   with
hjno:   john
hjnoy:   johnny
hklm:   hklm
hklu:   hulk
hknu:   hunk
hko:   hook
hlmnoty:   monthly
hlmpy:   lymph
hlmt:   html
hlmtx:   xhtml
hlnou:   honolulu
hloruy:   hourly
hlot:   holt
hlow:   hollow
hlowy:   wholly
hloy:   holly, holy
hlu:   hull
hm:   hmmm
hmnot:   month
hmnotu:   monmouth
hmny:   hymn
hmo:   homo
hmoru:   humour, humor
hmotu:   mouth
hmow:   whom
hmpruy:   murphy
hmrty:   rhythm
hmty:   myth
hnopt:   photon
hnopty:   python
hnor:   horn, honor
hnort:   horton, thornton, north
hnortw:   thrown
hnoru:   huron, honour
hnory:   horny
hntu:   hunt
hop:   hoop, pooh
hoprty:   trophy
hopt:   photo
hor:   horror
hort:   thor, ortho, roth
hortw:   throw, worth
hortwy:   worthy
horu:   hour
hot:   tooth
hotu:   thou
hotuy:   youth
hotw:   howto
hpt:   http
hrtu:   ruth, thru, hurt, truth
hruy:   hurry
ijk:   kijiji
ijl:   jill
ijlnop:   joplin
ijlnoty:   jointly
ijlou:   julio
ijm:   jimi
ijmy:   jimmy
ijno:   join
ijnoru:   junior
ijnot:   joint
ijnruy:   injury
ijov:   jovi
ikl:   kill
iklm:   milk
ikln:   linkin, link
iklot:   toolkit
ikmnpu:   pumpkin
ikn:   nikki
ikno:   nikon
iknp:   pink
iknt:   knit
ikntw:   twink
iknw:   wink
ikny:   kinky
ikr:   kirk
ikt:   tiki
iktw:   twiki
ikty:   kitty
ikw:   kiwi, wiki
ilm:   mill
ilmno:   million
ilmnot:   milton
ilmo:   limo
ilmp:   limp
ilmptuy:   multiply
ilmpy:   imply
ilmt:   limit
ilmtu:   multi
iln:   linn
ilno:   lion
ilnoptu:   pollution
ilnort:   trillion
ilnot:   lotion
ilnotw:   wilton
ilnov:   violin
ilnt:   intl
ilntu:   until
ilnux:   linux
ilnvy:   vinyl
iloprt:   lipitor
ilopt:   pilot
ilopw:   pillow
iloqru:   liquor
ilor:   lori
ilotv:   tivoli
ilow:   willow
ilp:   pill
ilptu:   tulip
ilpu:   pupil
ilqtu:   quilt
ilt:   tilt, till
iltu:   util
iltuy:   utility
ilw:   will
ilwy:   willy
ily:   lilly, lily
im:   mimi
imn:   mini
imno:   omni
imnoprt:   promotion
imnor:   minor
imnort:   monitor
imnorty:   minority
imnot:   motion
imnprt:   imprint
imnt:   mint
imntuy:   immunity
imnu:   minimum
imoprt:   import
imoptu:   optimum
imor:   mirror
imort:   timor
imot:   omit
imp:   pimp
imrt:   trim
imrtuv:   trivium
ino:   onion
inop:   opinion
inoprt:   proportion, portion
inopt:   option, point
inor:   noir, orion, iron
inort:   torino, nitro, intro
inortu:   nutrition
inory:   irony
inot:   toni, notion, tion, into
inotu:   intuition, tuition
inotuv:   vuitton
inou:   union
inox:   nixon
inoz:   zion
inprt:   print
inpt:   pint
inptu:   putin, input
inpwx:   winxp
inqruy:   inquiry
inqu:   quinn
inrtu:   turin
inrty:   trinity
inru:   ruin
inrw:   irwin
int:   init
intu:   unit
intuy:   unity
intw:   winnt, twin
inty:   tiny
inuv:   univ
inux:   unix
iopr:   prior
ioprty:   priority
ioptv:   pivot
iopv:   voip
iort:   tori, riot, trio
iortv:   vitro
iorvy:   ivory
iotv:   tivo
iov:   vivo
iovx:   vioxx
iprt:   trip
iprtuy:   purity
iprx:   prix
ipt:   pitt
ipty:   pity
iqtu:   quit
iquz:   quiz
irtw:   writ
irtz:   ritz
itwy:   witty
iv:   viii
iw:   wwii
ix:   xiii
jknu:   junk
jloy:   jolly
jluy:   july
jmo:   mojo
jmpu:   jump
jo:   jojo
joru:   jour
jruy:   jury
klo:   kool, look
klop:   polk
klopu:   lookup
klotu:   lookout, outlook
kmno:   monk
knor:   korn
knot:   knot
knouw:   unknown
knouy:   yukon
know:   known, know
knox:   knox
knpu:   punk
knrtu:   trunk
kopr:   pork
kortuw:   workout
korw:   work
kory:   york
kot:   took
koty:   kyoto, tokyo
krtu:   kurt
lmnopy:   monopoly
lmoprty:   promptly
lmoy:   molly
lmpru:   lumpur
lmpu:   lump, plum, plump
lnotu:   luton
lnoy:   lyon, nylon, only
lnu:   null
lnxy:   lynx
lny:   lynn
lop:   polo, loop, poll, pool
loprtuy:   poultry
lopry:   poorly
lopt:   plot
loptu:   pluto
lopy:   polly, poly
lor:   roll
lort:   troll
lot:   lotto, toll, tool
lotv:   volt
lov:   volvo
low:   wool
lpu:   pulp, pull
lrtuy:   truly
lruxy:   luxury
lu:   lulu
mno:   mono, moon
mnor:   mormon, norm
mnort:   morton
mnot:   mont
mnotu:   mount
mnoty:   monty
mopr:   prom, promo
moprt:   prompt
moqru:   quorum
mor:   room
mort:   motor
mortu:   tumor
mortw:   tomorrow
moru:   rumor
morw:   morrow, worm
mot:   tomtom, motto, moto
moty:   tommy
moy:   mommy
moz:   zoom
mprtu:   trump
mpu:   pump
mtuy:   tummy
muy:   yummy, mummy
no:   noon
nopr:   porno, porn
noprt:   proton
noptuw:   uptown
nopu:   upon
nopy:   pony
nort:   torn, norton, toronto
nortu:   turnout
norw:   worn
not:   toon, onto
notu:   unto
notw:   wont, town
noty:   tony
nou:   noun
nov:   novo
noxy:   onyx
nptu:   punt
nrtu:   turn
nx:   xnxx
opr:   prop, poor
oprt:   proto, porto, troop, prot, port
opru:   pour
oprv:   prov
oprxy:   proxy
optu:   upto, output
opty:   typo
opu:   popup
opy:   poppy
oqtu:   quot
ort:   rotor, tort, root
ortu:   tutor, trout, tour
orty:   tory, troy
oruy:   your
orv:   voor
orwy:   worry
orxy:   roxy
ot:   otto
otu:   tout
puy:   puppy
x:   xxxx
y:   yyyy
